,Time,Low,High,Open,Close,Volume
0,02-17-2023 19:00:00,1686.25,1713.75,1694.32,1705.15,63603.83734834
1,02-16-2023 19:00:00,1630.2,1722.07,1637.88,1694.37,193779.10526277
2,02-15-2023 19:00:00,1633.63,1742.5,1674.8,1637.83,265109.62279703
3,02-14-2023 19:00:00,1540.85,1682.45,1556.52,1674.88,194454.22724882
4,02-13-2023 19:00:00,1490.23,1569.16,1506.29,1556.67,166683.0389409
5,02-12-2023 19:00:00,1462.0,1526.64,1515.24,1506.29,184081.98744754
6,02-11-2023 19:00:00,1493.77,1548.2,1538.85,1515.25,63658.2777464
7,02-10-2023 19:00:00,1505.05,1543.61,1513.04,1538.86,45695.84884336
8,02-09-2023 19:00:00,1491.44,1554.89,1545.64,1513.04,208821.85745678
9,02-08-2023 19:00:00,1524.31,1656.02,1650.65,1545.54,208804.37359024
10,02-07-2023 19:00:00,1630.33,1699.66,1671.27,1650.65,160919.28668196
11,02-06-2023 19:00:00,1613.26,1678.57,1614.57,1671.28,160326.3142596
12,02-05-2023 19:00:00,1605.0,1658.41,1629.44,1614.5,127337.9625051
13,02-04-2023 19:00:00,1608.91,1673.81,1666.83,1629.37,98366.95792608
14,02-03-2023 19:00:00,1645.33,1695.0,1663.63,1666.83,87920.78907165
15,02-02-2023 19:00:00,1625.0,1676.53,1643.14,1663.69,174700.87440617
16,02-01-2023 19:00:00,1625.86,1714.83,1642.06,1643.19,247393.67193925
17,01-31-2023 19:00:00,1556.83,1647.75,1585.32,1642.05,249363.55705356
18,01-30-2023 19:00:00,1561.43,1605.01,1566.23,1585.39,260524.32481966
19,01-29-2023 19:00:00,1534.71,1647.73,1644.79,1566.23,338686.64935097
20,01-28-2023 19:00:00,1566.61,1661.0,1572.4,1644.89,248495.16574301
21,01-27-2023 19:00:00,1556.21,1606.99,1598.14,1572.3,157162.92260998
22,01-26-2023 19:00:00,1550.0,1622.32,1601.14,1598.18,268869.68835868
23,01-25-2023 19:00:00,1577.61,1633.55,1612.64,1601.1,287943.16630833
24,01-24-2023 19:00:00,1513.77,1640.92,1556.1,1612.54,400283.96163126
25,01-23-2023 19:00:00,1528.95,1641.72,1626.71,1556.09,328086.36249044
26,01-22-2023 19:00:00,1584.43,1648.56,1628.01,1626.55,318174.33544585
27,01-21-2023 19:00:00,1603.39,1664.42,1626.83,1627.88,260032.85446371
28,01-20-2023 19:00:00,1617.29,1680.0,1658.36,1626.8,279483.48492139
29,01-19-2023 19:00:00,1541.94,1668.0,1550.96,1658.25,384319.56762063
30,01-18-2023 19:00:00,1508.87,1564.61,1510.9,1550.98,301311.86624594
31,01-17-2023 19:00:00,1500.32,1612.66,1565.52,1510.83,448866.83667712
32,01-16-2023 19:00:00,1540.49,1608.65,1577.01,1565.68,305156.24219933
33,01-15-2023 19:00:00,1521.01,1603.91,1552.83,1576.85,358689.23697211
34,01-14-2023 19:00:00,1516.06,1567.37,1550.06,1552.89,239830.62852681
35,01-13-2023 19:00:00,1449.38,1597.99,1451.7,1550.06,416565.15549879
36,01-12-2023 19:00:00,1400.75,1466.0,1416.05,1451.78,360619.22951853
37,01-11-2023 19:00:00,1361.39,1438.55,1389.21,1416.05,498193.37603557
38,01-10-2023 19:00:00,1319.81,1397.98,1335.69,1389.24,323378.0899808
39,01-09-2023 19:00:00,1316.63,1348.19,1320.0,1335.56,312409.22657272
40,01-08-2023 19:00:00,1285.0,1345.87,1289.73,1320.02,422757.66914599
41,01-07-2023 19:00:00,1257.34,1295.38,1263.84,1289.92,158918.85227266
42,01-06-2023 19:00:00,1260.75,1270.83,1268.94,1263.94,105755.0768252
43,01-05-2023 19:00:00,1234.2,1276.6,1250.87,1268.84,290563.27086874
44,01-04-2023 19:00:00,1239.97,1259.77,1256.35,1250.88,236940.93295139
45,01-03-2023 19:00:00,1212.17,1272.01,1214.21,1256.34,339875.39832487
46,01-02-2023 19:00:00,1204.04,1219.79,1213.77,1214.21,185992.27832726
47,01-01-2023 19:00:00,1192.41,1224.59,1199.97,1213.69,181181.02038691
48,12-31-2022 19:00:00,1190.03,1204.17,1195.25,1199.92,110146.33985965
49,12-30-2022 19:00:00,1191.01,1208.0,1199.19,1195.25,144035.63835908
50,12-29-2022 19:00:00,1180.44,1201.64,1199.73,1199.1,228129.48726539
51,12-28-2022 19:00:00,1186.13,1206.07,1189.33,1199.74,240611.27081058
52,12-27-2022 19:00:00,1180.04,1215.38,1211.06,1189.24,301571.06009872
53,12-26-2022 19:00:00,1199.58,1233.75,1227.66,1210.99,214552.81999638
54,12-25-2022 19:00:00,1209.0,1230.92,1218.41,1227.58,133431.00775547
55,12-24-2022 19:00:00,1193.17,1224.1,1220.49,1218.37,167839.6524151
56,12-23-2022 19:00:00,1213.7,1227.47,1219.99,1220.51,135682.63966273
57,12-22-2022 19:00:00,1210.6,1231.7,1217.48,1219.92,287942.04914518
58,12-21-2022 19:00:00,1182.43,1238.76,1213.7,1217.5,316565.60833412
59,12-20-2022 19:00:00,1203.06,1222.99,1216.76,1213.7,237732.89806607
60,12-19-2022 19:00:00,1163.02,1231.28,1167.59,1216.69,341462.57912696
61,12-18-2022 19:00:00,1150.34,1195.34,1183.37,1167.6,324622.25840589
62,12-17-2022 19:00:00,1172.43,1196.6,1187.17,1183.32,174291.58481891
63,12-16-2022 19:00:00,1161.83,1190.0,1166.98,1187.06,227688.40724908
64,12-15-2022 19:00:00,1155.55,1279.99,1266.48,1166.98,529307.05569583
65,12-14-2022 19:00:00,1259.37,1311.5,1307.42,1266.48,394788.38073718
66,12-13-2022 19:00:00,1300.85,1351.87,1320.47,1307.47,490007.78017941
67,12-12-2022 19:00:00,1255.67,1351.05,1275.74,1320.47,340963.9356146
68,12-11-2022 19:00:00,1240.0,1279.22,1263.08,1275.72,244239.65101571
69,12-10-2022 19:00:00,1255.7,1284.68,1266.45,1262.92,136453.26405627
70,12-09-2022 19:00:00,1259.59,1283.4,1262.75,1266.45,127080.35178923
71,12-08-2022 19:00:00,1255.61,1296.55,1280.15,1262.95,268613.51750162
72,12-07-2022 19:00:00,1221.72,1292.58,1231.49,1280.33,305010.10153789
73,12-06-2022 19:00:00,1215.0,1277.49,1271.36,1231.56,294892.06525655
74,12-05-2022 19:00:00,1241.83,1274.57,1259.32,1271.19,310591.43275838
75,12-04-2022 19:00:00,1246.73,1305.75,1279.67,1259.23,334071.84681319
76,12-03-2022 19:00:00,1240.27,1287.44,1240.91,1279.68,195680.27732029
77,12-02-2022 19:00:00,1236.42,1308.89,1295.63,1240.91,233057.32789248
78,12-01-2022 19:00:00,1265.56,1297.57,1276.48,1295.63,312335.42943569
79,11-30-2022 19:00:00,1262.85,1302.0,1294.68,1276.48,341051.44664941
80,11-29-2022 19:00:00,1212.0,1311.76,1216.04,1294.77,513868.94915466
81,11-28-2022 19:00:00,1157.37,1227.08,1167.22,1215.91,334230.25859657
82,11-27-2022 19:00:00,1150.09,1198.87,1193.46,1167.24,336303.06814697
83,11-26-2022 19:00:00,1188.31,1222.81,1204.89,1193.3,160395.219962
84,11-25-2022 19:00:00,1195.54,1234.97,1198.65,1204.8,194599.63009605
85,11-24-2022 19:00:00,1170.17,1206.84,1202.78,1198.66,255469.51018685
86,11-23-2022 19:00:00,1179.1,1216.1,1183.55,1202.81,347857.6927724
87,11-22-2022 19:00:00,1126.22,1189.51,1138.25,1183.53,488293.70716425
88,11-21-2022 19:00:00,1073.42,1141.26,1105.68,1138.17,571006.86329332
89,11-20-2022 19:00:00,1080.0,1145.0,1140.04,1105.91,645537.15248314
90,11-19-2022 19:00:00,1130.2,1225.26,1216.31,1140.07,309725.68130629
91,11-18-2022 19:00:00,1196.27,1231.62,1210.73,1216.12,154207.57456321
92,11-17-2022 19:00:00,1198.01,1232.37,1199.39,1210.93,276244.25355508
93,11-16-2022 19:00:00,1181.02,1227.34,1215.2,1199.44,347569.96062493
94,11-15-2022 19:00:00,1185.2,1266.99,1251.95,1215.21,430253.13724259
95,11-14-2022 19:00:00,1232.56,1289.78,1241.58,1251.74,417549.56093034
96,11-13-2022 19:00:00,1169.4,1289.17,1219.4,1241.56,524054.26384295
97,11-12-2022 19:00:00,1198.99,1272.0,1254.98,1219.43,245429.7415013
98,11-11-2022 19:00:00,1235.53,1289.16,1285.57,1255.14,252702.81256691
99,11-10-2022 19:00:00,1197.9,1307.36,1295.55,1285.29,807406.05368993
100,11-09-2022 19:00:00,1083.95,1347.62,1099.9,1295.36,898160.51223308
101,11-08-2022 19:00:00,1071.11,1337.49,1333.97,1099.9,1483345.10339453
102,11-07-2022 19:00:00,1227.4,1580.0,1568.45,1334.25,1191644.98913668
103,11-06-2022 19:00:00,1545.97,1608.66,1568.27,1568.34,420305.13392561
104,11-05-2022 20:00:00,1564.17,1638.72,1627.17,1568.34,206626.51589598
105,11-04-2022 20:00:00,1621.05,1667.03,1644.84,1627.0,191562.15441931
106,11-03-2022 20:00:00,1528.01,1677.0,1530.81,1644.61,595048.87785607
107,11-02-2022 20:00:00,1515.0,1558.95,1518.15,1530.81,417983.19723455
108,11-01-2022 20:00:00,1502.0,1622.24,1578.35,1518.04,597803.71672197
109,10-31-2022 20:00:00,1563.05,1612.74,1572.58,1578.24,338781.998348
110,10-30-2022 20:00:00,1546.31,1635.7,1590.88,1572.67,442623.55124963
111,10-29-2022 20:00:00,1576.24,1640.41,1620.18,1590.89,262404.11149452
112,10-28-2022 20:00:00,1547.79,1664.29,1554.81,1620.09,371454.96971093
113,10-27-2022 20:00:00,1479.41,1577.89,1514.2,1554.83,517416.22097988
114,10-26-2022 20:00:00,1502.8,1580.0,1566.46,1514.09,768442.493559
115,10-25-2022 20:00:00,1457.41,1595.44,1460.34,1566.37,867339.4350063
116,10-24-2022 20:00:00,1335.12,1525.38,1343.74,1460.34,738604.66673918
117,10-23-2022 20:00:00,1324.04,1370.9,1363.93,1343.71,330219.49579837
118,10-22-2022 20:00:00,1299.47,1370.66,1313.82,1364.06,182202.51780535
119,10-21-2022 20:00:00,1294.17,1320.56,1299.94,1313.88,98142.700874
120,10-20-2022 20:00:00,1254.0,1307.18,1282.59,1299.83,307346.53371619
121,10-19-2022 20:00:00,1270.34,1311.1,1284.92,1282.6,310500.82723664
122,10-18-2022 20:00:00,1280.02,1313.8,1310.79,1284.76,249903.49640293
123,10-17-2022 20:00:00,1286.67,1342.28,1331.57,1310.78,375586.2181984
124,10-16-2022 20:00:00,1295.36,1338.69,1305.89,1331.49,274413.38632897
125,10-15-2022 20:00:00,1274.61,1315.62,1275.16,1306.04,160206.63331032
126,10-14-2022 20:00:00,1263.6,1302.14,1296.42,1275.09,146252.46427666
127,10-13-2022 20:00:00,1283.26,1344.4,1286.89,1296.36,483178.87927368
128,10-12-2022 20:00:00,1190.0,1301.85,1294.21,1286.96,533160.99117969
129,10-11-2022 20:00:00,1274.73,1306.72,1279.87,1294.33,257271.51091194
130,10-10-2022 20:00:00,1267.0,1297.95,1289.94,1279.94,361513.38640616
